id_envio,nombre_producto,km_recorridos,tipo_entrega
1,CELULAR_MOTOG6,14,1
2,MOUSE_GENIUS,55,3
3,CELULAR_MOTOG6,46,1
4,MONITOR_SAMSUNG_24,51,3
5,MONITOR_SAMSUNG_24,56,2
6,MOUSE_GENIUS,48,2
7,MONITOR_SAMSUNG_24,29,2
8,MOUSE_GENIUS,32,2
9,MONITOR_SAMSUNG_24,90,3
10,TV_LG_54,24,2
11,NOTEBOOK_HP,59,3
12,CELULAR_MOTOG6,64,1
13,MOUSE_GENIUS,93,1
14,MOUSE_GENIUS,69,1
15,TV_LG_54,88,1
16,TECLADO_ESP,45,1
17,TV_LG_54,104,3
18,TECLADO_ESP,47,3
19,MONITOR_SAMSUNG_24,18,3
20,MOUSE_GENIUS,63,1
21,MOUSE_GENIUS,71,3
22,CELULAR_MOTOG6,84,2
23,TECLADO_ESP,88,1
24,TECLADO_ESP,11,3
25,MOUSE_GENIUS,36,3
26,CELULAR_MOTOG5,36,3
27,NOTEBOOK_HP,15,1
28,NOTEBOOK_HP,109,3
29,NOTEBOOK_HP,42,1
30,NOTEBOOK_HP,52,3
31,MONITOR_SAMSUNG_24,48,2
32,TECLADO_ESP,36,2
33,MOUSE_GENIUS,33,3
34,CELULAR_MOTOG5,59,1
35,TV_LG_54,28,1
36,NOTEBOOK_HP,85,3
37,MONITOR_SAMSUNG_24,48,2
38,CELULAR_MOTOG5,92,1
39,TECLADO_ESP,83,3
40,TV_LG_54,45,3
41,TV_LG_54,47,2
42,MOUSE_GENIUS,59,2
43,CELULAR_MOTOG6,97,2
44,MONITOR_SAMSUNG_24,29,2
45,MONITOR_SAMSUNG_24,102,2
46,TECLADO_ESP,23,3
47,CELULAR_MOTOG6,103,2
48,MOUSE_GENIUS,54,2
49,CELULAR_MOTOG6,87,1
50,CELULAR_MOTOG6,19,1
51,TV_LG_54,77,1
52,CELULAR_MOTOG5,87,1
53,MOUSE_GENIUS,16,1
54,MOUSE_GENIUS,90,2
55,TV_LG_54,107,2
56,MONITOR_SAMSUNG_24,81,2
57,TV_LG_54,68,2
58,TECLADO_ESP,21,1
59,TECLADO_ESP,42,1
60,TECLADO_ESP,35,1
61,MOUSE_GENIUS,98,1
62,NOTEBOOK_HP,106,2
63,CELULAR_MOTOG6,91,2
64,TV_LG_54,22,3
65,CELULAR_MOTOG5,63,1
66,CELULAR_MOTOG6,30,2
67,CELULAR_MOTOG6,34,1
68,NOTEBOOK_HP,97,3
69,CELULAR_MOTOG6,82,2
70,TV_LG_54,38,2
71,CELULAR_MOTOG6,56,3
72,TV_LG_54,19,2
73,TECLADO_ESP,29,3
74,NOTEBOOK_HP,80,1
75,MONITOR_SAMSUNG_24,18,3
76,MONITOR_SAMSUNG_24,17,1
77,CELULAR_MOTOG6,68,2
78,TECLADO_ESP,95,2
79,MONITOR_SAMSUNG_24,53,3
80,TECLADO_ESP,82,3
81,CELULAR_MOTOG5,31,2
82,CELULAR_MOTOG6,101,1
83,TV_LG_54,104,3
84,CELULAR_MOTOG5,54,3
85,TECLADO_ESP,77,2
86,NOTEBOOK_HP,100,2
87,TV_LG_54,39,3
88,CELULAR_MOTOG6,38,3
89,NOTEBOOK_HP,67,2
90,MOUSE_GENIUS,50,1
91,CELULAR_MOTOG5,101,3
92,TECLADO_ESP,50,2
93,CELULAR_MOTOG6,25,2
94,MOUSE_GENIUS,89,2
95,CELULAR_MOTOG6,48,1
96,CELULAR_MOTOG6,58,1
97,MOUSE_GENIUS,35,2
98,NOTEBOOK_HP,83,1
99,MONITOR_SAMSUNG_24,19,3
100,NOTEBOOK_HP,101,2
101,TV_LG_54,23,1
102,TECLADO_ESP,52,3
103,CELULAR_MOTOG6,17,2
104,MONITOR_SAMSUNG_24,44,1
105,MOUSE_GENIUS,95,1
106,CELULAR_MOTOG6,85,3
107,MOUSE_GENIUS,22,1
108,MONITOR_SAMSUNG_24,110,3
109,MOUSE_GENIUS,12,3
110,MONITOR_SAMSUNG_24,89,3
111,MONITOR_SAMSUNG_24,17,3
112,CELULAR_MOTOG5,31,1
113,MOUSE_GENIUS,110,3
114,NOTEBOOK_HP,32,3
115,CELULAR_MOTOG5,72,2
116,MONITOR_SAMSUNG_24,48,2
117,MONITOR_SAMSUNG_24,45,1
118,CELULAR_MOTOG5,29,1
119,CELULAR_MOTOG6,24,1
120,MOUSE_GENIUS,11,3
121,MONITOR_SAMSUNG_24,69,1
122,MOUSE_GENIUS,63,3
123,TECLADO_ESP,71,1
124,CELULAR_MOTOG5,93,2
125,TV_LG_54,44,3
126,CELULAR_MOTOG5,16,1
127,CELULAR_MOTOG6,80,3
128,MOUSE_GENIUS,35,3
129,MONITOR_SAMSUNG_24,16,1
130,TV_LG_54,99,3
131,TECLADO_ESP,109,2
132,CELULAR_MOTOG6,24,3
133,MONITOR_SAMSUNG_24,26,1
134,NOTEBOOK_HP,89,2
135,NOTEBOOK_HP,60,2
136,MOUSE_GENIUS,53,2
137,NOTEBOOK_HP,12,1
138,MOUSE_GENIUS,28,1
139,MOUSE_GENIUS,80,1
140,MOUSE_GENIUS,48,2
141,MOUSE_GENIUS,45,3
142,MONITOR_SAMSUNG_24,43,3
143,MOUSE_GENIUS,88,1
144,CELULAR_MOTOG5,107,1
145,TV_LG_54,37,2
146,TV_LG_54,66,1
147,MOUSE_GENIUS,10,1
148,TECLADO_ESP,72,1
149,CELULAR_MOTOG5,26,3
150,MONITOR_SAMSUNG_24,19,2
151,CELULAR_MOTOG6,53,1
152,TV_LG_54,93,2
153,MOUSE_GENIUS,99,1
154,TECLADO_ESP,79,1
155,CELULAR_MOTOG6,41,3
156,NOTEBOOK_HP,71,1
157,CELULAR_MOTOG6,65,3
158,MONITOR_SAMSUNG_24,30,3
159,CELULAR_MOTOG5,17,1
160,CELULAR_MOTOG6,42,2
161,MOUSE_GENIUS,49,3
162,TECLADO_ESP,98,1
163,MOUSE_GENIUS,95,3
164,NOTEBOOK_HP,16,2
165,CELULAR_MOTOG5,89,2
166,CELULAR_MOTOG5,77,3
167,MONITOR_SAMSUNG_24,101,1
168,CELULAR_MOTOG5,88,2
169,TECLADO_ESP,38,1
170,TV_LG_54,12,1
171,MOUSE_GENIUS,30,1
172,TECLADO_ESP,91,1
173,NOTEBOOK_HP,63,1
174,MONITOR_SAMSUNG_24,11,2
175,CELULAR_MOTOG6,110,3
176,TECLADO_ESP,78,3
177,MOUSE_GENIUS,87,1
178,CELULAR_MOTOG5,89,1
179,MOUSE_GENIUS,63,2
180,CELULAR_MOTOG6,98,3
181,TV_LG_54,48,1
182,TECLADO_ESP,73,2
183,TECLADO_ESP,80,2
184,NOTEBOOK_HP,14,1
185,TV_LG_54,97,2
186,MOUSE_GENIUS,43,1
187,NOTEBOOK_HP,110,3
188,TV_LG_54,74,1
189,MOUSE_GENIUS,107,1
190,CELULAR_MOTOG6,91,3
191,NOTEBOOK_HP,88,2
192,MONITOR_SAMSUNG_24,82,1
193,TECLADO_ESP,81,2
194,MONITOR_SAMSUNG_24,54,1
195,MONITOR_SAMSUNG_24,64,1
196,CELULAR_MOTOG5,76,3
197,CELULAR_MOTOG5,15,1
198,CELULAR_MOTOG5,61,3
199,NOTEBOOK_HP,69,2
200,MONITOR_SAMSUNG_24,80,2
201,TV_LG_54,46,3
202,MOUSE_GENIUS,55,3
203,NOTEBOOK_HP,104,2
204,MOUSE_GENIUS,101,3
205,NOTEBOOK_HP,95,2
206,CELULAR_MOTOG6,22,1
207,NOTEBOOK_HP,95,2
208,MOUSE_GENIUS,33,1
209,CELULAR_MOTOG5,53,2
210,NOTEBOOK_HP,42,2
211,NOTEBOOK_HP,57,3
212,TECLADO_ESP,107,1
213,TV_LG_54,66,1
214,CELULAR_MOTOG6,109,3
215,TECLADO_ESP,21,3
216,NOTEBOOK_HP,31,2
217,TECLADO_ESP,104,2
218,TECLADO_ESP,104,2
219,NOTEBOOK_HP,27,1
220,MOUSE_GENIUS,15,1
221,TECLADO_ESP,62,3
222,TV_LG_54,26,2
223,MONITOR_SAMSUNG_24,47,1
224,TECLADO_ESP,22,1
